Adress,Radius,Budget,Tabu List's Max Size
"lane reversed at (542080382, 542080261, 0)",51,91,32.912,29.457224369049072
"lane removed at (541838634, 541837978, 0)",51,91,31.502999999999993,30.043039798736572
"lane reversed at (1609339393, 10580486940, 1)",51,91,31.743999999999993,30.60840344429016
"lane added at (541838356, 541838077, 0)",51,91,31.089000000000006,31.19832468032837
"lane added at (1992587306, 5902767415, 0)",51,91,32.022999999999996,31.81016969680786
"lane removed at (4843821514, 4843821515, 0)",51,91,31.326999999999998,32.41464591026306
"lane removed at (2608953058, 4837454355, 0)",51,91,32.67100000000001,33.01435947418213
"lane reversed at (541838389, 541838306, 0)",51,91,33.13799999999999,33.57584261894226
"lane added at (542607588, 1992587306, 0)",51,91,30.796999999999997,34.19797086715698
"lane added at (542607339, 1992587306, 0)",51,91,32.40499999999998,34.81434226036072
"lane removed at (541838315, 541838306, 0)",51,91,30.216999999999995,35.388222455978394
